cards,strength,rating,%
AsAcKc8s,116,1,
AsAhQs5h,109,1,
AsAhJs5h,103,1,
AsAhTs5h,100.5,1,
AsAhKh7s,116,1,
AsAcJs4c,103,1,
AsAhQs4h,109,1,
AsAhJs4h,103,1,
AhAdKd3h,116,1,
AhAdKd2h,116,1,
AcKsKcJc,115,1,
AhAcJh7c,103,1,
AhAcTh7c,105.5,1,
AhAdQh8d,109,1,
AhAdJh8d,105.5,1,
AhAdTh8d,105.5,1,
AsAdKs7d,116,1,
AsAdQs7d,109,1,
AsAdJs7d,103,1,
AsAdTs7d,105.5,1,
AhAdKh7d,116,1,
AhAdQh7d,109,1,
AhAdJh7d,103,1,
AsAcQsJh,126.5,1,
AsAcKcTc,123.5,1,
AhAcKcTc,123.5,1,
AdAcKcTc,123.5,1,
AsAcKs7c,116,1,
AsAcQs7c,109,1,
AsAcJs7c,103,1,
AsAcTs7c,105.5,1,
AhAcKh7c,116,1,
AhAcQh7c,109,1,
AdKhKdTh,130,1,
AhAdKd9h,116,1,
AhAdKd8h,116,1,
AhAdKd7h,116,1,
AhAdKd6h,116,1,
AhAdKd5h,116,1,
AhAdKd4h,116,1,
AhAdKdJs,123.5,1,
AsAdKhKd,190.5,1,
AhAcKdJc,115.5,1,
AdAcKd7c,116,1,
AdAcQd7c,109,1,
AdAcJd7c,103,1,
AdAcTd7c,105.5,1,
AsAcKs6c,116,1,
AsAcQs6c,109,1,
AsAcJs6c,103,1,
AsAcTs6c,100.5,1,
AdAcJc5d,103,1,
AdAcJc4d,103,1,
AdAcJc3d,103,1,
AdAcJc2d,103,1,
AsKcJsJc,103,1,
AhAcQdJc,120.5,1,
AcKdJdJc,103,1,
AcQdJdJc,105,1,
AsAhQsQd,180,1,
AsAhQdJs,120.5,1,
AsKsKhQd,120,1,
AdAcJc9d,105.5,1,
AdAcJc8d,105.5,1,
AdAcJc7d,103,1,
AdAcJc6d,103,1,
AcKhKcJc,115,1,
AcKdKcJc,115,1,
AhKcJhJc,103,1,
AdKcJdJc,103,1,
AhQhQcJc,134.5,1,
AhQcJhJc,105,1,
AsAcKdJc,115.5,1,
AdAcKsQs,130.5,1,
AdAcKhQh,130.5,1,
AsAcKsKd,190.5,1,
AhAdQh9d,111.5,1,
AhAdJh9d,105.5,1,
AhAdTh9d,115.5,1,
AsAdKs8d,116,1,
AsAdQs8d,109,1,
AsAdJs8d,105.5,1,
AsAdTs8d,105.5,1,
AhAdKh8d,116,1,
AhAcKhTh,123.5,1,
AhAcQhTh,116.5,1,
AhAcJhTh,128.5,1,
AsAcQdJc,120.5,1,
AhAcJc7h,103,1,
AhAcJc6h,103,1,
AhAcJc5h,103,1,
AhKsJsJh,103,1,
AhQsJsJh,105,1,
AsAcQhJc,120.5,1,
AhKsKhQd,120,1,
AsAhQhQd,180,1,
AsAhQdJh,120.5,1,
AhAcJc4h,103,1,
AhAcJc3h,103,1,
AhAcJc2h,103,1,
AdAcKsJc,115.5,1,
AdAcQsJc,120.5,1,
AdAcKhJc,115.5,1,
AdAcQhJc,120.5,1,
AcQhJhJc,105,1,
AsKsKhJs,115,1,
AhAcJc9h,105.5,1,
AhAcJc8h,105.5,1,
AdKhKdQs,120,1,
AdKsKdQh,120,1,
AsAdKdJh,123.5,1,
AsAdKd5s,116,1,
AsAdKd4s,116,1,
AsAdKd3s,116,1,
AsAdKd2s,116,1,
AhAdKsKd,190.5,1,
AsAhQh3s,109,1,
AsAhQh2s,109,1,
AdQdQcJc,134.5,1,
AdQcJdJc,105,1,
AsAhJh7s,103,1,
AhAcKsJc,115.5,1,
AhAcQsJc,120.5,1,
AsAcKhJc,115.5,1,
AsAdKs9d,116,1,
AsAdQs9d,111.5,1,
AsAdJs9d,105.5,1,
AsAdTs9d,115.5,1,
AhAdKh9d,116,1,
AsAcKdJs,115.5,1,
AhAcKhKd,190.5,1,
AhAcKdJh,115.5,1,
AdAcKsKd,190.5,1,
AdAcKdJs,123.5,1,
AdAcKhKd,190.5,1,
AcKhJhJc,103,1,
AsAdQd3s,109,1,
AsAdQd2s,109,1,
AhAdQsQd,180,1,
AhAdQdJs,126.5,1,
AdKsKhQd,118,1,
AdKsQsQd,139.5,1,
AdQsQdJs,134.5,1,
AsAdQd9s,111.5,1,
AsAdQd8s,109,1,
AsAcJc6s,103,1,
AsAcJc5s,103,1,
